id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,cidade_id_ibge
id808,Jornal,NOSSO JORNAL,ABAETÉ,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3100203
id2880,Jornal,CORREIO ABELARDENSE,ABELARDO LUZ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4200101
id2881,Jornal,O FALCAO,ABELARDO LUZ,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,4200101
id5132,Jornal,TRIBUNA DE ABRE CAMPO,ABRE CAMPO,n/d,MG,Minas Gerais,Sudeste,Brasil,Atlas da Notícia,3100302
id704,Jornal,JORNAL DO MARANHAO,AÇAILÂNDIA,n/d,MA,Maranhão,Nordeste,Brasil,Secom/PR,2100055
id199,Jornal,FOLHA DO SERTAO,ACOPIARA,n/d,CE,Ceará,Nordeste,Brasil,Secom/PR,2300309
id2263,Jornal,TRIBUNA DO VALE,AÇU,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,2400208
id3951,Jornal,O IMPACTO,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3500105
id3952,Jornal,DIARIO DO OESTE PAULISTA,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3500105
id5551,Jornal,JORNAL DA CIDADE,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,3500105
id5552,Jornal,JORNAL IMPACTO,ADAMANTINA,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,3500105
id435,Jornal,O RESGATE,AFONSO CLÁUDIO,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,3200102
id1319,Jornal,JORNAL ACONTECENDO,ÁGUA BOA,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,Secom/PR,"Nome_Município
ÁGUA BOA    3100609
ÁGUA BOA    5100201
Name: Código Município Completo, dtype: int64"
id1493,Online,PORTAL MPIAUI,ÁGUA BRANCA,n/d,PI,Piauí,Nordeste,Brasil,Secom/PR,"Nome_Município
ÁGUA BRANCA    2200202
ÁGUA BRANCA    2500106
ÁGUA BRANCA    2700102
Name: Código Município Completo, dtype: int64"
id3953,Jornal,CORREIO DE AGUAI,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3500303
id3954,Jornal,GAZETA DE AGUAI,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3500303
id5553,Jornal,O IMPARCIAL,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,3500303
id5554,Jornal,CORREIO,AGUAÍ,n/d,SP,São Paulo,Sudeste,Brasil,Adjori-SP,3500303
id4950,Jornal,FOLHA DE ÁGUAS CLARAS,ÁGUAS CLARAS,RIDE DF,DF,Distrito Federal,Centro-Oeste,Brasil,Atlas da Notícia,
id3956,Jornal,TRIBUNA DAS AGUAS,ÁGUAS DE LINDÓIA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3500501
id503,Online,IMPRENSA JA,ÁGUAS LINDAS DE GOIÁS,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5200258
id555,Jornal,GAZETA GOIANA E DF (EX GAZETA GOIANA),ÁGUAS LINDAS DE GOIÁS,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5200258
id2455,Jornal,DEUTSCHE INTEGRATION,AGUDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4300109
id2456,Jornal,CORREIO AGUDENSE,AGUDO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4300109
id3957,Jornal,CIDADE DE AGUDOS,AGUDOS,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,3500709
id111,Jornal,FOLHAO DA BAHIA,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,2900702
id112,Jornal,GAZETA DOS MUNICIPIOS,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,2900702
id63,Online,ALAGOINHAS HOJE,ALAGOINHAS,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,2900702
id2457,Jornal,DIARIO DE ALEGRETE,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4300406
id2458,Jornal,EM QUESTAO,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4300406
id2459,Jornal,EXPRESSO MINUANO,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,4300406
id5152,Jornal,GAZETA DE ALEGRETE,ALEGRETE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,4300406
id809,Jornal,A GAZETA,ALÉM PARAÍBA,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3101508
id810,Jornal,ALEM PARAHYBA,ALÉM PARAÍBA,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3101508
id811,Jornal,FOLHA REGIONAL,ALÉM PARAÍBA,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3101508
id556,Jornal,CIDADE NOTICIA,ALEXÂNIA,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5200308
id812,Jornal,JORNAL DOS LAGOS,ALFENAS,n/d,MG,Minas Gerais,Sudeste,Brasil,Secom/PR,3101607
